# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  9)   0.744 us    |  finish_task_switch.isra.0();
  8)               |                                    ttwu_queue_wakelist() {
  8)               |                                      __smp_call_single_queue() {
  8)   0.225 us    |                                        call_function_single_prep_ipi();
  8)   0.540 us    |                                      }
  8)   0.847 us    |                                    }
  8)   0.103 us    |                                    _raw_spin_unlock_irqrestore();
  8)   3.678 us    |                                  }
  8)   3.916 us    |                                }
  8)   4.122 us    |                              }
  8)   4.703 us    |                            }
  8)   0.107 us    |                            _raw_spin_unlock_irqrestore();
  8)   5.336 us    |                          }
  8)   5.613 us    |                        }
  8)   5.860 us    |                      }
  8)   7.426 us    |                    }
  8)   0.102 us    |                    tcp_check_space();
  8)               |                    __tcp_ack_snd_check() {
  8)               |                      tcp_send_delayed_ack() {
  8)   0.098 us    |                        __usecs_to_jiffies();
  8)   0.120 us    |                        tcp_delack_max();
  8)               |                        sk_reset_timer() {
  8)               |                          mod_timer() {
  8)               |                            lock_timer_base() {
  8)   0.100 us    |                              _raw_spin_lock_irqsave();
  8)   0.316 us    |                            }
  8)   0.106 us    |                            calc_wheel_index();
  8)   0.100 us    |                            detach_if_pending();
  8)   0.117 us    |                            enqueue_timer();
  8)   0.206 us    |                            _raw_spin_unlock_irqrestore();
  8)   1.499 us    |                          }
  8)   1.738 us    |                        }
  8)   2.467 us    |                      }
  8)   2.916 us    |                    }
  8) + 23.165 us   |                  }
  8) + 23.679 us   |                }
  8) + 26.247 us   |              }
  8) + 27.006 us   |            }
  8) + 27.308 us   |          }
  8) + 27.573 us   |        }
  8) + 27.877 us   |      }
  8) + 30.432 us   |    }
  8) + 31.733 us   |  }
  9)               |  ip_queue_xmit() {
  9)               |    __ip_queue_xmit() {
  9)               |      __sk_dst_check() {
  9)   0.217 us    |        ipv4_dst_check();
  9)   0.623 us    |      }
  9)   0.106 us    |      skb_push();
  9)               |      ip_local_out() {
  9)               |        __ip_local_out() {
  9)   0.106 us    |          ip_send_check();
  9)   0.367 us    |        }
  9)               |        ip_output() {
  9)               |          nf_hook_slow() {
  9)   0.104 us    |            apparmor_ip_postroute();
  9)   0.399 us    |          }
  9)               |          ip_finish_output() {
  9)               |            __ip_finish_output() {
  9)               |              ip_finish_output2() {
  9)               |                __dev_queue_xmit() {
  9)   0.119 us    |                  qdisc_pkt_len_init();
  9)               |                  netdev_core_pick_tx() {
  9)               |                    netdev_pick_tx() {
  9)   0.258 us    |                      __get_xps_queue_idx();
  9)   0.505 us    |                    }
  9)   0.839 us    |                  }
  9)   0.133 us    |                  _raw_spin_lock();
  9)               |                  sch_direct_xmit() {
  9)               |                    validate_xmit_skb_list() {
  9)               |                      validate_xmit_skb() {
  9)               |                        netif_skb_features() {
  9)               |                          gve_features_check [gve]() {
  9)   0.099 us    |                            gve_features_check_dqo [gve]();
  9)   0.409 us    |                          }
  9)   0.106 us    |                          skb_network_protocol();
  9)   0.909 us    |                        }
  9)   0.110 us    |                        skb_csum_hwoffload_help();
  9)   0.106 us    |                        validate_xmit_xfrm();
  9)   1.664 us    |                      }
  9)   1.880 us    |                    }
  9)   0.102 us    |                    _raw_spin_lock();
  9)               |                    dev_hard_start_xmit() {
  9)               |                      xmit_one.constprop.0() {
  9)               |                        gve_start_xmit [gve]() {
  9)               |                          gve_tx_dqo [gve]() {
  9)               |                            gve_try_tx_skb.isra.0 [gve]() {
  9)   0.157 us    |                              gve_has_avail_slots_tx_dqo [gve]();
  9)               |                              gve_tx_add_skb_dqo [gve]() {
  9)               |                                gve_tx_add_skb_no_copy_dqo.isra.0 [gve]() {
  9)   0.097 us    |                                  is_vmalloc_addr();
  9)   0.180 us    |                                  dma_map_page_attrs();
  9)   0.101 us    |                                  gve_tx_fill_pkt_desc_dqo.isra.0 [gve]();
  9)   0.120 us    |                                  dma_map_page_attrs();
  9)   0.100 us    |                                  gve_tx_fill_pkt_desc_dqo.isra.0 [gve]();
  9)   1.291 us    |                                }
  9)   1.560 us    |                              }
  9)   0.139 us    |                              skb_clone_tx_timestamp();
  9)   2.432 us    |                            }
  9)   2.821 us    |                          }
  9)   3.143 us    |                        }
  9)   3.374 us    |                      }
  9)   3.635 us    |                    }
  9)   0.102 us    |                    _raw_spin_lock();
  9)   6.436 us    |                  }
  9)               |                  __qdisc_run() {
  9)               |                    dequeue_skb() {
  9)   0.133 us    |                      fq_codel_dequeue [sch_fq_codel]();
  9)   0.417 us    |                    }
  9)   0.653 us    |                  }
  9)   0.111 us    |                  __local_bh_enable_ip();
  9)   9.503 us    |                }
  9) + 10.037 us   |              }
  9) + 10.387 us   |            }
  9) + 11.073 us   |          }
  9) + 11.856 us   |        }
  9) + 12.618 us   |      }
  9) + 13.966 us   |    }
  9) + 14.639 us   |  }
  8)               |  ip_list_rcv() {
  8)   0.290 us    |    ip_rcv_core();
  8)               |    ip_sublist_rcv() {
  8)               |      ip_rcv_finish_core() {
  8)               |        tcp_v4_early_demux() {
  8)               |          __inet_lookup_established() {
  8)   0.127 us    |            inet_ehashfn();
  8)   0.691 us    |          }
  8)   0.189 us    |          ipv4_dst_check();
  8)   1.420 us    |        }
  8)   1.900 us    |      }
  8)               |      ip_sublist_rcv_finish() {
  8)               |        ip_local_deliver() {
  8)               |          ip_local_deliver_finish() {
  8)               |            ip_protocol_deliver_rcu() {
  8)               |              raw_local_deliver() {
  8)   0.134 us    |                raw_v4_input();
  8)   0.380 us    |              }
  8)               |              tcp_v4_rcv() {
  8)               |                tcp_inbound_hash() {
  8)   0.133 us    |                  tcp_do_parse_auth_options();
  8)   0.405 us    |                }
  8)               |                sk_filter_trim_cap() {
  8)               |                  security_sock_rcv_skb() {
  8)   0.125 us    |                    apparmor_socket_sock_rcv_skb();
  8)   0.462 us    |                  }
  8)   0.808 us    |                }
  8)   0.108 us    |                tcp_v4_fill_cb();
  8)   0.131 us    |                _raw_spin_lock();
  8)               |                tcp_v4_do_rcv() {
  8)   0.098 us    |                  ipv4_dst_check();
  8)               |                  tcp_rcv_established() {
  8)               |                    tcp_mstamp_refresh() {
  8)   0.117 us    |                      ktime_get();
  8)   0.324 us    |                    }
  8)               |                    tcp_ack() {
  8)   0.095 us    |                      ktime_get_seconds();
  8)   0.107 us    |                      tcp_ack_update_window.isra.0();
  8)               |                      tcp_clean_rtx_queue.constprop.0() {
  8)   0.106 us    |                        tcp_rack_advance();
  8)   0.120 us    |                        tcp_rate_skb_delivered();
  8)   0.099 us    |                        tcp_ack_tstamp();
  8)               |                        __kfree_skb() {
  8)   0.098 us    |                          skb_release_head_state();
  8)               |                          skb_release_data() {
  8)               |                            skb_free_head() {
  8)               |                              kmem_cache_free() {
  8)   0.160 us    |                                __slab_free();
  8)   0.471 us    |                              }
  8)   0.672 us    |                            }
  8)   1.012 us    |                          }
  8)               |                          kfree_skbmem() {
  8)               |                            kmem_cache_free() {
  8)   0.162 us    |                              __slab_free();
  8)   0.464 us    |                            }
  8)   0.704 us    |                          }
  8)   2.233 us    |                        }
  8)   0.100 us    |                        tcp_ack_tstamp();
  8)               |                        tcp_ack_update_rtt() {
  8)   0.115 us    |                          tcp_rtt_estimator();
  8)   0.097 us    |                          __usecs_to_jiffies();
  8)   0.652 us    |                        }
  8)               |                        cubictcp_acked() {
  8)   0.112 us    |                          hystart_update();
  8)   0.346 us    |                        }
  8)   4.995 us    |                      }
  8)   0.125 us    |                      tcp_rack_update_reo_wnd();
  8)               |                      tcp_schedule_loss_probe() {
  8)               |                        tcp_schedule_loss_probe.part.0() {
  8)   0.324 us    |                          __usecs_to_jiffies();
  8)   0.260 us    |                          jiffies_to_usecs();
  8)   0.180 us    |                          __usecs_to_jiffies();
  8)               |                          sk_reset_timer() {
  8)               |                            mod_timer() {
  8)               |                              lock_timer_base() {
  8)   0.241 us    |                                _raw_spin_lock_irqsave();
  8)   0.452 us    |                              }
  8)   0.105 us    |                              calc_wheel_index();
  8)   0.159 us    |                              detach_if_pending();
  8)   0.124 us    |                              _raw_spin_lock();
  8)   0.132 us    |                              enqueue_timer();
  8)   0.109 us    |                              _raw_spin_unlock_irqrestore();
  8)   2.144 us    |                            }
  8)   2.391 us    |                          }
  8)   3.850 us    |                        }
  8)   4.098 us    |                      }
  8)   0.128 us    |                      tcp_newly_delivered();
  8)   0.118 us    |                      tcp_rate_gen();
  8)   0.112 us    |                      cubictcp_cong_avoid();
  8)   0.132 us    |                      tcp_update_pacing_rate();
  8)   0.104 us    |                      tcp_xmit_recovery();
  8) + 11.538 us   |                    }
  8)   0.096 us    |                    tcp_urg();
  8)               |                    tcp_data_queue() {
  8)   0.099 us    |                      tcp_try_rmem_schedule();
  8)               |                      tcp_queue_rcv() {
  8)   0.097 us    |                        tcp_rcv_sne_update();
  8)   0.365 us    |                      }
  8)               |                      tcp_event_data_recv() {
  8)   0.122 us    |                        tcp_measure_rcv_mss();
